,TranslatedIngredients
6600,"2 tablespoons Green Moong Dal (Whole),2 tablespoons White Urad Dal (Split),2 tablespoons Black Urad Dal (Whole),2 tablespoons Pink Masoor Dal (Split),2 tablespoons Masoor Dal (Whole),2 tablespoons Rajma (Large Kidney Beans),2 tablespoons Kabuli Chana (White Chickpeas),1/4 cup Yellow Moong Dal (Split) - (soak for 20 minutes),1 tablespoon Arhar dal (Split Toor Dal) - (soak for 20 minutes),1 Onion - finely chopped,1 Tomato - finely chopped,1 tablespoon Ginger Garlic Paste,1 Green Chilli - slit,2 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 teaspoons Garam masala powder,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1 inch Ginger - cut to julienned for garnish,2 tablespoons Ghee,1 Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),Salt - to taste"
6601,"300 grams Elephant yam (Suran/Senai/Ratalu),2 tablespoons Kebab Masala - store bought.,2 Onions - finely chopped,3/4 cup Homemade tomato puree,6 cloves Garlic - pounded,1 inch Ginger - pounded,1 Green Chilli - pounded,2 teaspoons Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),2 teaspoons Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1/2 teaspoon Garam masala powder,2 tablespoons Curd (Dahi / Yogurt),Sunflower Oil - as required,Salt - to taste"
6602,"1 cup Poha (Flattened rice),1/2 cup Barnyard Millet,1/2 cup Badam (Almond),1/2 cup Cashew nuts,3/4 cup Jaggery - grated,50 grams Dark chocolate - lindt,Chocolate pearls - for garnish,1/2 cup Hung Curd (Greek Yogurt) - (1/2 cup full fat yogurt strained overnight on a cheesecloth),150 grams Britannia Cream Cheese,10 Strawberries - pureed,1/4 cup Sugar"
6603,"1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic - finely chopped or grated,2 Blanched tomatoes - pureed,3 teaspoons Red Chilli sauce,2 cups Water,2 teaspoons Corn flour - mix with 2 tablespoon cornflour,1 teaspoon Sugar,1/4 cup Mixed vegetables - chopped,Salt - to taste,1 cup Basmati rice - soak for 30 minutes,1 Onion - finely chopped,1 Carrot (Gajjar) - finely chopped,5-6 Green beans (French Beans) - finely chopped,1/4 cup Red Yellow and Green Bell Peppers (Capsicum) - finely chopped,2 Green Chillies - finely chopped (adjust),1 teaspoon Ginger Garlic Paste,2 teaspoons Sesame (Gingelly) Oil,Salt - to taste,200 grams Paneer (Homemade Cottage Cheese) - cubed,1 Onion - diced,1 Carrot (Gajjar) - diced & blanched,1 Tomato - deeseeded & diced,1/2 Cauliflower (gobi) - cut to florets & blanched,1/4 cup Sweet corn - blanched,7 Green beans (French Beans) - cut to 3 inch pieces,2 teaspoons Sunflower Oil,1/2 teaspoon Whole Black Peppercorns - pounded,Salt - to taste,1/4 cup Spring Onion Greens - finely chopped,Cabbage (Patta Gobi/ Muttaikose) - few leaves,1 teaspoon Butter"
6604,"2 tablespoon Butter - melted,2-1/2 tablespoon Curd (Dahi / Yogurt),5 tablespoons Milk,3-1/2 tablespoons Whole Wheat Flour,3 tablespoons Caster Sugar,1/2 teaspoon Baking powder,Baking soda - a pinch,1 tablespoon Cocoa Powder,1 tablespoon Chocolate chips,1/2 cup Water,1 cup Strawberries - finely chopped,3 tablespoons Sugar,200 ml Heavy whipping cream,4 tablespoons Caster Sugar,2 teaspoons Vanilla Extract,Strawberries - sliced,Chocolate chips - as required"
6605,"1 Raw Banana - skin peeled and cut into small cubes,1 teaspoon Mustard seeds,1 sprig Curry leaves,1 tablespoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 cup Tamarind Water,1 inch Ginger,4 cloves Garlic,1 tablespoon Rice"
6606,"1-1 / 2 cup rice, 1/4 tsp saffron, 2 tbsp milk, 1/2 tsp cumin seeds, 1/2 tsp fennel, 1 inch cinnamon, 2 long, salt - 2 tbsp ghee, as per taste"
6607,"1 liter Milk,200 grams Palm jaggery - crushed,1-1/2 teaspoons Cardamom Powder (Elaichi),100 grams Rice flour,1 cup Hot water,2 tablespoons Ghee,1 cup Fresh coconut - grated,1 pinch Salt,1 tablespoon Cashew nuts - chopped (optional)"
6608,"Spinach Leaves (Palak) - a bunch,1 Cucumber - peeled and chopped,1 Carrot (Gajjar) - peeled and chopped,1 clove Garlic,1/2 inch Ginger - chopped,1 Green Chilli,1 Onion - chopped,1/4 teaspoon Paprika powder,2 tablespoon Curd (Dahi / Yogurt),1 tablespoon Balsamic Vinegar,1 teaspoon Extra Virgin Olive Oil,2 tablespoons Pine nuts - peeled"
6609,"2 tablespoons Thandai Masala,2 teaspoon Agar agar - (china grass),1 cup Milk - room temperature,2 tablespoon Sugar - to taste,1 cup Heavy whipping cream,Lemon juice - from half a lemon,1 tablespoon Pistachios - chopped"
6610,"2 Mango (Ripe),500 ml Milk,100 ml Heavy whipping cream,2 teaspoon Vanilla Extract,Water - as required,2 tablespoons Pistachios - slivered,4 Saffron strands,1 tablespoon Honey - or date syrup"
6611,"300 grams Mutton Kheema,1 tablespoon Sunflower Oil,1 Bay leaf (tej patta),2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),2 Cardamom (Elaichi) Pods/Seeds,1 Star anise,2 Dagad phool (/pathar phool/black stone flower),1 tablespoon Ginger - finely chopped,1 tablespoon Garlic - finely chopped,1 Green Chilli - finely chopped,2 Onions - finely chopped,2 Tomatoes - finely chopped,1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Coriander Powder (Dhania),1 teaspoon Black pepper powder,1/4 cup Coriander (Dhania) Leaves,1/4 Mint Leaves (Pudina),Salt - to taste"
6612,"1 cup Curd (Dahi / Yogurt) - mildly soured,2 cups Water,2 tablespoons Gram flour (besan),1/4 cup Milk,1 tablespoon Fresh cream - (clotted cream) or sour cream,1 teaspoon Green Chilli - minced,1 teaspoon Ginger - minced,2 teaspoons Sugar - adjustable,2 teaspoons Ghee,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies - whole,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 sprig Curry leaves,1 sprig Mint Leaves (Pudina),Asafoetida (hing) - a pinch"
6613,"3 Burger buns - mini,3 tablespoons Veeba Pasta sauce,1/2 cup Mozzarella cheese,3 tablespoons Salted butter,1 tablespoon Extra Virgin Olive Oil,2 tablespoons Garlic - finely chopped,2 teaspoons Mixed Herbs (Dried),1 tablespoon Coriander (Dhania) Leaves"
6615,"3-1/2 tablespoons Roasted Gram Flour (Sattu Ka Atta),4 Mint Leaves (Pudina) - finely chopped,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,1 tablespoon Lemon juice,1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Black Salt (Kala Namak),3 cups Chilled water,Salt - to taste"
6616,"2 cups Milk,1 cup Sabudana (Tapioca Pearls) - also called sago,Sugar - as required,1/2 teaspoon Cardamom Powder (Elaichi),6 Saffron strands,4 Cashew nuts - roughly broken,4 Raisins - optional"
6617,"1/2 kg small potatoes - boil and peel, 1/4 teaspoon turmeric powder, 1/4 teaspoon coriander powder, 1/4 teaspoon garam masala powder, 1/4 teaspoon red chilli powder, 1/4 teaspoon Sugar, salt - as per taste, 2 onions - chopped, 2 tomatoes - chopped, 2 green chillies - chopped, 1/2 inch ginger, 2 tablespoons mustard oil, 1/2 teaspoon cumin seeds, coriander leaves - chopped Take (as per use)"
6618,"2 cups Buckwheat Flour (Kuttu Ka Atta),1 tablespoon Flax seeds,1 tablespoon Sesame seeds (Til seeds) - roasted,1/4 cup Sunflower Oil,1 teaspoon Salt,1 teaspoon Sugar,1 teaspoon Red Chilli flakes,1 teaspoon Mixed Herbs (Dried),1/2 cup Chilled water"
6619,"2 cups Milk,1/2 cup Sugar - granulated,2 tablespoons Custard powder,2 tablespoons Gelatin,4 tablespoons Hot water,2 teaspoons Badam (Almond) - powdered (grind 1/4 almonds in a mixer grinder at medium speed),1 teaspoon Rose water,Kewra essence - a drop,1 teaspoon Saffron strands"
6620,"3 आलू - छीलकर काट ले,1 लौकी - छीलकर काट ले,2 टमाटर - बारीक काट ले,1 प्याज - बारीक काट ले,1 इंच अदरक - कस ले,2 हरी मिर्च - काट ले,1 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च धनिया पाउडर,1/2 छोटा चमच्च काली मिर्च पाउडर,नमक - स्वाद अनुसार,1 छोटा चमच्च कलोंजी के बीज,तेल - प्रयोग अनुसार"
6621,"1 cups Whole Wheat Flour,1/2 cup Ragi Flour (Finger Millet/ Nagli),1/4 teaspoon Baking soda,1/2 cup Salted butter - chopped,5 tablespoons Curd (Dahi / Yogurt),1/2 cup Cane sugar,1 teaspoon Vanilla Extract,1/2 cup Chocolate chips,2 tablespoons Dessicated Coconut - optional,2 tablespoons Decorative sugar (Cake/ Candy Sprinkles)"
6622,"2 cups Bhindi (Lady Finger/Okra),1 cup Yellow Moong Dal (Split),1 cup Tamarind Water,1 tablespoon Jaggery,1 teaspoon Turmeric powder (Haldi),1 Green Chilli - chopped,1 tablespoon Red Chilli powder,Salt - to taste,Sunflower Oil - as needed,1 teaspoon White Urad Dal (Split),1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 inch Cinnamon Stick (Dalchini),4 Dry Red Chillies,1 tablespoon Coriander (Dhania) Seeds,1 pinch Asafoetida (hing),1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon White Urad Dal (Split),1 sprig Curry leaves,1 Dry Red Chilli,1 pinch Asafoetida (hing),1 tablespoon Sunflower Oil,1 sprig Coriander (Dhania) Leaves - chopped"
6623,"1 Cup Horse Gram Dal (Kollu/ Kulith) - soaked overnight,1/4 teaspoon Turmeric powder (Haldi),2 Green Chillies - chopped finely,1 tablespoon Sunflower Oil,1 Onion - chopped finely,1 Tomato - chopped finely,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Ginger Garlic Paste,1/2 teaspoon Red Chilli powder,1/4 teaspoon Garam masala powder,1/4 teaspoon Cinnamon Powder (Dalchini),1/2 cup Water,Salt - to taste"
6624,"2 cups black gram, 4 onions - finely chopped, 1 teaspoon ginger garlic paste, 4 green chillies, 1 teaspoon cumin seeds, 1 bay leaf, 1/2 teaspoon turmeric powder, 1-1 / 2 tablespoon red chilli Powder, 2 tablespoons coriander powder - grind, 1 teaspoon black pepper powder, 1 teaspoon cumin powder - compress, 1 tablespoon mustard oil, onion - finely chopped, green chili - finely chopped, coconut - tighten Roast it, 1 teaspoon Cumin seeds - Cook it"
6625,"1 tablespoon oil, 1 inch lentil sugar, 2 cloves, 1 cup of chickpea gram or chickpeas, 1 cup broccoli, 1 onion - chopped, 1 tomato - chopped, 1 teaspoon ginger garlic paste, 1 teaspoon cumin powder, 1 teaspoon Red chilli powder, salt - as per taste, 1 cup water, coriander leaves - little"
6626,"1/2 teaspoon Extra Virgin Olive Oil,1 cup Broccoli - grated,3 Potatoes (Aloo) - boiled & mashed,1/2 cup Roasted Peanuts (Moongphali) - coarsely crushed,2 tablespoons Instant Oats (Oatmeal) - powdered,2 Green Chillies - finely chopped,2 cloves Garlic - finely chopped,1/4 teaspoon Garam masala powder,1 teaspoon Chaat Masala Powder"
6627,"2 cups Kerala Matta Rice - soaked in water for 30 minutes, 1 cup green peas, 2 cardamom, 1 inch lentil sugar, 1 bay leaf, 2 teaspoons cumin seeds, salt - as per taste, 1 teaspoon sugar - optional, ghee - as per use"
6628,"1/2 Cabbage (Patta Gobi/ Muttaikose) - shredded,1 Apple - julienned,1 Pears - julienned,4 tablespoon Curd (Dahi / Yogurt) - (low fat),3 tablespoon Pineapple juice,1 teaspoon Tabasco Original - Hot Sauce - (or any hot sauce of choice),1 tablespoon Sugar,3 sprig Coriander (Dhania) Leaves - chopped for garnish"
6629,"2 Potatoes (Aloo) - half boiled and grated,1 cup Spinach - chopped,100 grams Cheese,1 teaspoon Dried oregano,1 teaspoon Red Chilli flakes,Black pepper powder - for seasoning,Salt - to taste"
6630,"3 cups Poha (Flattened rice),2 Onions - finely diced,1 Green Bell Pepper (Capsicum) - finely diced (optional),1/4 cup Tamarind Paste - thick,3 tablespoons Jaggery - (reserve 1 tablespoon),2 tablespoons Sambar Powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Mustard seeds,2 tablespoons Chana dal (Bengal Gram Dal),2 teaspoons White Urad Dal (Split),1/4 cup Roasted Peanuts (Moongphali),10 Curry leaves,2 Green Chillies - slit (optional),Asafoetida (hing) - a pinch,3 tablespoons Coriander (Dhania) Leaves - finely chopped,3 tablespoons Fresh coconut - grated,3 tablespoons Sunflower Oil,Salt - to taste"
6631,"Nutralite Garlic & Oregano Spread - as needed,4 Whole Wheat Brown Bread - brioche bread preferred,1 Onion - finely Chopped,2 Green Chillies - finely chopped,200 Grams Button mushrooms - sliced,2 tablespoons Achari Mayo,Mint Leaves (Pudina) - finely chopped,3 Whole Eggs,1/4 Cup Milk,1/4 Cup Fresh cream,1/4 teaspoon Whole Black Pepper Corns - coarsely pounded,Salt - to taste"
6632,"2 cups Snake gourd (pudulangai) - cut into 1 inch strips,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania) - freshly roasted and ground,1 teaspoon Red Chilli powder,2 Tomatoes - pureed,1 cup Tamarind Water,1 sprig Curry leaves,Sunflower Oil - to cooking,2 tablespoons Coriander (Dhania) Leaves - to garnish,Salt - to taste,2 tablespoons Roasted Peanuts (Moongphali),2 tablespoons Sesame seeds (Til seeds) - roasted,3 tablespoons Fresh coconut - grated,3 cloves Garlic,1 inch Ginger,1 Onions - roughly chopped"
6633,"5 Karela (Bitter Gourd/ Pavakkai),1 Onion - finely chopped,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Cumin seeds (Jeera),1 teaspoon Salt,1 teaspoon Coriander Powder (Dhania),1 teaspoon Mango pickle,Cotton threads - to tie and secure the guards,Sunflower Oil - for deep frying"
6634,"3 Mango (Raw) - peeled and chopped,1/2 cup Sesame seeds (Til seeds),5 Green Chillies - (adjust to taste),Salt - to taste,2 teaspoons Sunflower Oil,1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,3 Dry Red Chillies - (adjust to taste),1 sprig Curry leaves,1 pinch Asafoetida (hing)"
6635,"2 Chicken legs,1 cup Hung Curd (Greek Yogurt),1 Dry Red Chilli,2 Bay leaves (tej patta),1 inch Cinnamon Stick (Dalchini),1 Onion - ground to paste,2 inch Ginger - grated or paste,5 cloves Garlic - minced,2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,1-1/2 tablespoon Cashew nuts - ground to paste,3 tablespoons Poppy seeds - soaked in warm water for 20 minutes,Kewra Water - a few drops,Ghee - or butter as required for cooking,Salt - to taste,1 pinch Sugar"
6636,"2 cups Curd (Dahi / Yogurt),2 Mango (Ripe) - peeled & chopped,1 pinch Saffron strands - soaked in 2 tablespoons milk,1 pinch Cardamom Powder (Elaichi),2-3 tablespoons Sugar - (adjust)"
6637,"400 grams Button mushroom, 1/4 cup green peas - steam, 1 cup soy chunks, 2 cups tomato puree, 1/2 teaspoon turmeric powder, 1 teaspoon garam masala powder, 1/2 teaspoon red chilli powder, 4 Bud garlic, 1 inch ginger, 1 tablespoon poppy seeds, 5 cashews, oil - as per use, salt - as per taste, 4 sprig coriander - finely chopped"
6638,"1 cup Canned black beans,2 tablespoons Extra Virgin Olive Oil,1 Onion - finely chopped,2 cloves Garlic - grated,1 inch Ginger - grated,Mint Leaves (Pudina) - a small bunch finely chopped,1/2 cup Whole Wheat Bread crumbs,1/2 cup Oats Flour"
6639,"400 grams Boneless chicken,100 grams Nando's Peri Peri Chicken Marinade,Coriander (Dhania) Leaves - small bunch,2 tablespoons Extra Virgin Olive Oil,1 tablespoon Lemon juice,2 Fresh Red chillies - chopped (optional)"
6640,"2 cups Fresh cream,1/2 cup Milk,2 teaspoon Gelatin,4 tablespoons Sugar,2 tablespoons Thandai Masala - or syrup,1 cup Mango Pulp (Puree),1 tablespoon Lemon juice,2 tablespoons Water,200 grams Strawberries - hulled,3 tablespoons Sugar,2 teaspoon Lemon juice,2 tablespoons Water"
6641,"3 tablespoons Sunflower Oil,3 Potatoes (Aloo) - boiled and mashed,100 grams Paneer (Homemade Cottage Cheese) - grated,3/4 cup Green peas (Matar) - steamed,1 Onions - finely chopped,1/2 cup Instant Oats (Oatmeal),1 inch Ginger - grated,2 Green Chillies - finely chopped,2 sprig Coriander (Dhania) Leaves - finely chopped,1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Red Chilli powder,1 teaspoon Chaat Masala Powder,Salt - to taste"
6642,"1-1/2 cups Whole Wheat Flour,1/2 cup Gram flour (besan),1 cup Bottle gourd (lauki) - peeled and grated,1 Green Chilli - finely chopped,2 tablespoon Coriander (Dhania) Leaves - finely chopped,1 inch Ginger - peeled and crushed into paste,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Red Chilli powder,1 teaspoon Garam masala powder,2 tablespoons Hung Curd (Greek Yogurt),2 tablespoons Ghee,Salt - to taste"
6643,"750 ml Milk,3 tablespoons Custard powder,1/2 cup Sugar,1 Apple - cut into small cubes,3 Ripe Bananas - (small) cut into small cubes,1/2 cup Green seedless Grapes - cut into half,1 Orange - peeled and cut,1/4 cup Fresh Pomegranate Fruit Kernels"
6644,"250 grams Dates - seedless,75 grams Tamarind - pitted,4 tablespoons Jaggery - broken,1 tablespoon Sunflower Oil,4 Dry Red Chillies,1 tablespoon Panch Phoran Masala,Salt - to taste"
6645,"1 cup Sooji (Semolina/ Rava) - (fine),1/2 cup Whole Wheat Flour,3 tablespoons Fresh coconut - freshly grated,1 Onion - finely chopped,2 Green Chillies - minced,1 inch Ginger - grated or minced,3 tablespoons Hung Curd (Greek Yogurt) - use less if it is too sour,1-1/4 cups Water - for kneading,5 Curry leaves - minced,2 sprig Coriander (Dhania) Leaves - finely chopped,2 teaspoons Jaggery - powdered,Salt - to taste,Ghee - or oil for shallow frying"
6646,"250 grams cheese, 1 onion - chopped, 1 capsicum (green) - cut, 1 teaspoon ginger - grated, 2 cloves garlic - finely chopped, 2 tomatoes - chopped, 1 teaspoon cardamom powder, 1 small Tablespoon turmeric powder, 1 teaspoon cumin powder, 1 teaspoon red chilli powder, 1 teaspoon black pepper powder, 1 tablespoon Kasuri methi, oil - as per use, 1 tablespoon butter, salt - as per taste"
6647,"400 grams Chicken - minced,1 Onion - finely chopped,1/4 cup Mint Leaves (Pudina) - finely chopped,1 tablespoon Ginger - grated,1 tablespoon Harissa paste,1 tablespoon Paprika powder,1 tablespoon Cumin powder (Jeera),2 tablespoon Garlic - minced,Salt - to taste,1 teaspoon Black pepper powder,1 teaspoon Lemon juice,Sunflower Oil - little for brushing,4 Mini Pita Breads,Iceberg lettuce - Few,4 tablespoon Hung Curd (Greek Yogurt),1/2 cup Feta Cheese - crumbled,3 Carrots (Gajjar) - cut into thin strips,1 teaspoon Lemon juice,1 teaspoon Black pepper powder,Salt - to taste,1 tablespoon Extra Virgin Olive Oil"
6648,"Oil - As per use, make 1 cup green gram - or lilwe, 1 potato - cut, 1 bay leaf, 2 long, 1 big cardamom, 1 tablespoon ginger garlic paste, 2 tablespoons curd, 1 onion - paste 1 onion - finely chopped, 1 teaspoon red chilli powder, 3/4 teaspoon turmeric powder, 1 teaspoon coriander powder, salt - as per use, water - as per use, 3 sprig green coriander - finely chopped"
6649,"1 cup Black Eyed Beans (Lobia) - soaked in water overnight,2 tablespoons Tabasco Original - Hot Sauce,1 teaspoon Red Chilli powder,1 teaspoon Rosemary,1 teaspoon Dried oregano,1 Lemon juice,Salt - to taste,Sunflower Oil"
6650,"4 Onions - thinly sliced,1 Tomato - chopped,2 Green Chillies - slit,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin (Jeera) seeds,2 sprig Curry leaves,2 Dry Red Chillies,1/4 teaspoon Asafoetida (hing),Salt - to taste,1 teaspoon Sunflower Oil,Mint Leaves (Pudina) - small bunch chopped"
6652,"8 Whole Wheat Brown Bread,1/4 cup Britannia Cream Cheese,1 cup Carrots (Gajjar) - grated,3 tablespoon Raisins,12 teaspoon Coriander (Dhania) Leaves - parsley or any herb of choice (optional)"
6653,"1/2 cup Instant Oats (Oatmeal),1/4 cup Whole Wheat Flour,1/2 cup Muesli - Saffola Lite Delight,1/2 teaspoon Baking powder,4 Prunes - finely chopped,1 teaspoon Honey,1/4 teaspoon Salt,1 tablespoon Spirulina,1/2 cup Curd (Dahi / Yogurt)"
6654,"1 Cauliflower (gobi),1/2 cup Badam (Almond) - blanched,3 tablespoon Harissa paste,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cinnamon Powder (Dalchini),Salt - to taste,2 cups Vegetable stock,2 tablespoon Extra Virgin Olive Oil,Black pepper powder - to taste"
6655,"6-7 Button mushrooms - chopped,1 tablespoon Extra Virgin Olive Oil,1 Fresh Red chillies - chopped,1/2 tablespoon Brown Sugar (Demerara Sugar),1/4 tablespoon Black pepper powder,1/2 tablespoon Parsley leaves,1/2 tablespoon Fresh oregano,3-4 cloves Garlic - chopped,1 Onion - chopped,1 tablespoon Vinegar,1 tablespoon Worcestershire sauce,3 Homemade tomato puree,Salt - to taste,1 cup Green beans (French Beans) - canned,3 Potatoes (Aloo) - mashed,2-3 tablespoon All Purpose Flour (Maida),1 1/2 tablespoon Butter"
6656,"3 cups All Purpose Flour (Maida),3 tablespoon Hung Curd (Greek Yogurt),1/3 teaspoon Baking soda,1/2 teaspoon Baking powder,1 teaspoon Sugar,1 tablespoon Sunflower Oil,Salt - to taste,Lukewarm Water - as needed,4 Potatoes (Aloo) - boiled and peeled,1/2 teaspoon Salt,2 Green Chillies - chopped fine,1 inch Ginger - grated,1/2 teaspoon Chaat Masala Powder,1/2 teaspoon Red Chilli powder,1/2 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1/4 teaspoon Garam masala powder,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 teaspoon Ajwain (Carom seeds),1/2 cup Ghee - (adjust)"
6657,"2 tablespoon Curd (Dahi / Yogurt),1 teaspoon Ginger Garlic Paste,1 tablespoon Coriander Powder (Dhania),3/4 teaspoon Cumin powder (Jeera),Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1-1/2 teaspoon Kashmiri Red Chilli Powder,2 tablespoons Sunflower Oil,750 grams Chicken - cleaned,4 tablespoons Sunflower Oil,1 tablespoon Ginger - finely chopped,1 tablespoon Garlic - finely chopped,1 cup Homemade tomato puree,2 Onions - chopped,Salt - to taste,Red Chilli powder - Red chili powder to taste,2 tablespoon Fresh cream"
6658,"1 cup Chicken breasts,1/2 cup Del Monte Whole Corn Kernels,1 Whole Egg - lightly beaten,1/2 cup Milk,2 tablespoons Butter,1/2 teaspoon Salt,1 teaspoon Red Chilli powder,1 teaspoon Black pepper powder,1 cup All Purpose Flour (Maida),1 teaspoon Baking powder,1/2 cup Water,Sunflower Oil - for deep frying"
6659,"100 grams Govind Bhog Rice - or any rice,1-1/2 liter Milk,3/4 cup Sugar,1 tablespoon Cashew nuts,3 to 4 Cardamom (Elaichi) Pods/Seeds,5 teaspoon Condensed Milk,1 teaspoon Ghee"
6660,"500 grams Brinjal (Baingan / Eggplant) - cut into 1 inch pieces,3 tablespoon Mustard oil,2 cups Curd (Dahi / Yogurt) - whisked well until smooth,2 teaspoons Dry ginger powder,2 teaspoons Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Fennel seeds (Saunf) - coarsely pounded,4 Cardamom (Elaichi) Pods/Seeds,1/4 teaspoon SSP Asafoetida (Hing),Salt - to taste"
6661,"6 Hog Plum (Amtekai),1 Karela (Bitter Gourd/ Pavakkai),6 tablespoons Jaggery,Salt - to taste,1 teaspoon Sunflower Oil,1/4 teaspoon Turmeric powder (Haldi),1 tablespoon Sunflower Oil,1/4 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),4 Green Chillies,2 pinch Asafoetida (hing)"
6662,"2 cups button mushrooms, 1/2 cup small onions - cut into thin slices, 10 cloves garlic - tighten, 4 tbsp black pepper powder - grind, salt - as per taste, 1 tbsp oil, 3 sprig green coriander - chop"
6663,"4 Whole Wheat Brown Bread - slices,2 Cheddar cheese - sliced,2 Whole Eggs,1 Onion - finely chopped,1 Tomato - finely chopped,1 Green Chilli - finely chopped,Salt - as required,Sunflower Oil - or butter as required,1/2 teaspoon Black pepper powder,3 sprigs Coriander (Dhania) Leaves - finely chopped"
6664,"5 Button mushrooms - sliced,1 teaspoon Extra Virgin Olive Oil,4 cups Spinach Leaves (Palak) - (baby leaves),2 Whole Eggs - hard boiled & chopped,Salt,Black pepper powder - to taste,1 tablespoon Lemon juice,1/2 teaspoon Ginger,1 teaspoon Dijon Mustard,2 tablespoon Sesame (Gingelly) Oil,1 teaspoon Pumpkin seeds - roasted"
6665,"2 अंडे - उबाल कर,7 काजू,1 प्याज - काट ले,1 टमाटर - काट ले,2 आलू - छीलकर काट ले,1 इंच अदरक,3 लहसुन,2 छोटे चम्मच धनिया पाउडर,1 छोटा चम्मच लाल मिर्च पाउडर,1/2 छोटा चम्मच हल्दी पाउडर,1/4 छोटा चम्मच गरम मसाला पाउडर,1 बड़ा चम्मच सौंफ,2 बड़े चम्मच हरा धनिया - काट ले,2 टहनी कढ़ी पत्ता,तेल - प्रयोग अनुसार,नमक - स्वाद अनुसार"
6666,"2 cups radish leaves - chopped, 1 tomato - chopped, 10 dry red chillies, 2 green chillies - chopped, salt - as per taste, 1 teaspoon turmeric powder, 2 tablespoons oil, 1 tablespoon mustard, 1 big Spoon black urad dal, 1 teaspoon fenugreek seeds, 1 teaspoon asafoetida, 5 curry leaves, 3 cloves garlic, 2 inch tamarind"
6667,"1 cup Couscous,1/2 cup Roasted tomato pasta sauce,2 teaspoon Harissa paste,1 Japanese Eggplant - sliced,1 teaspoons Extra Virgin Olive Oil,2 tablespoons Feta Cheese - crumbled,2 tablespoon Whole Wheat Bread crumbs,Mint Leaves (Pudina) - as required for garnish (chopped),Salt - to taste"
6668,"Whole Wheat Brown Bread - 8 slices,Baked beans - as needed,4 Potatoes (Aloo) - boiled,1 teaspoon Cumin powder (Jeera),2 Onions - finely chopped,2 Green Chillies - finely chopped,Chaat Masala Powder - for seasoning,Coriander (Dhania) Leaves - small bunch,Sev - for topping,Salt - to taste,Butter - for toasting the bread"
6669,"300 gram Fish,3 teaspoon Sunflower Oil,1/2 teaspoon Cumin seeds (Jeera),1 Onion - chopped,1 teaspoon Ginger - paste,2 Tomatoes - chopped,3 cloves Garlic - finely chopped,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/4 teaspoon Vinegar,1/4 Lemon juice,50 ml Coconut milk,Salt - to taste"
6670,"200 ग्राम पनीर,2 बड़े चम्मच थाई स्वीट चिल्ली सॉस,1 बड़ा चम्मच सोया सॉस,1 बड़ा चम्मच शेजवान सॉस,1/2 छोटा चमच्च कॉर्न फ्लौर,3 कली लहसुन - बारीक काट ले,2 बड़े चम्मच हरे प्याज के पत्ते - काट ले,2 बड़े चम्मच तिल (सफ़ेद),1 बड़ा चम्मच कॉर्न फ्लौर - डस्ट करने के लिए,नमक - स्वाद अनुसार,तेल - प्रयोग अनुसार,हरे प्याज के पत्ते - काट ले"
