TranslatedRecipeName,TranslatedIngredients
Beetroot Greens Rice Recipe,"cooked rice,beetroot greens,sprig curry leaves"
Masoor Moong Phali Ki Dal Recipe (Masoor Dal With Peanuts Recipe),"garam masala powder,lemon juice,masoor dal,raw peanuts,bay leaf,inch cinnamon stick"
Mixed Vegetable Jalfrezi Recipe,"sweet corn,ginger garlic paste,garam masala powder,carrot,green beans,green bell pepper,green peas,kasuri methi"
Herbed Potato And Green Olive Salad Recipe - A Delicious Summertime Salad,"baby potatoes,extra virgin olive oil,red onion,lemon juice,coconut milk,whole black peppercorns,sprig basil leaves,green olives"
Peanut Cucumber Salad Recipe,"cucumber,chaat masala powder,lemon juice,roasted peanuts"
Tomato Upma Recipe,"curry leaves,hot water,lemon juice,sooji,sprig coriander"
Eggless Pumpkin Cheesecake Recipe,"britannia cream cheese,dark chocolate,dry ginger powder,oreo biscuits,caster sugar,kaddu,brown sugar,cinnamon powder,butter,butter"
Chicken Galauti Kebab Recipe,"boneless chicken,raw papaya,ginger,garlic,garam masala powder,mace powder,cardamom powder,gram flour"
 Green Chutney Recipe,"green coriander,mint,curry leaves,peanuts,ginger,green chilies,large spoon lemon juice"
Andhra Style Karivepaku Pachadi Recipe (Curry Leaf Chutney Recipe),"sprigs curry leaves,tamarind water,chana dal"
Aloo Konir Dom Recipe (Assamese Egg & Potato Curry),"whole eggs,ginger garlic paste,potatoes,bay leaf,cardamom,cloves,inch cinnamon stick,cumin powder"
 Sukhi Urad Dal Sabzi Recipe,"white urad dal,green chili,cumin,spoon turmeric powder,garam masala powder,lemon"
Raw Mango Cucumber Salad Recipe with Roasted Peanuts,"cucumber,paprika powder,mango,roasted peanuts,mint leaves,sweet chutney,date  tamarind"
8 Ingredient Sugar Free Granola Parfait Recipe,"walnuts,apricots,dates,honey,extra virgin olive oil,kiwi,instant oats,badam,cinnamon powder,curd,anardana powder"
 Parsi Style Lagan Sara Istew Recipe (Recipe In Hindi),"carrot,small potatoes,suran,green peas,raisins,dates,horse,pieces garlic,red chili powder,dhansak masala,oil"
Instant Carrot Pickle Recipe,"mustard oil,carrot,kalonji,fennel seeds,methi seeds"
 Puli Keerai (Recipe In Hindi),"tamarind,spinach,oil,mustard,gram lentils,sprig curry leaves"
 Palak Kadhi Recipe,"curd,gram flour,spinach,green chili,cumin,cumin,rye,sprig curry leaves,red chillies,oil"
Wheat Grass Rasam Recipe,"wheat grass,cherry tomatoes,tamarind,rasam powder,curry leaves"
Apple And Ginger Cocktail Recipe,"apple vodka,orange liquor,apple cider vinegar,ginger juice,ice cubes,apple,mint leaves"
 Spicy Moong Dal Ki Goli Recipe,"green moong dal,ginger garlic paste,red chili powder,small coriander powder,lemon juice,garam masala powder,mango powder,oil"
Matki Kala Chana Salad Recipe,"extra virgin olive oil,kashmiri red chilli powder,chaat masala powder,lemon juice,moth sprouts,kala chana,sprig coriander"
Blueberry and Lemon Iced Tea Recipe,"blueberries,tea bags,lemon juice,ice cubes,lemon"
Thai Chicken Noodle Soup With Veggies Recipe,"fresh red chillies,stalks celery,stalks lemon grass,chicken stock,sriracha sauce,lemon juice,chicken,baby corn,rice vermicelli noodles,green beans,red bell pepper,sprig coriander"
Oriya Kakharu Phula Bhaja Recipe (Pumpkin Flower Fritters),"pumpkin flowers,rice,chaat masala powder,mustard oil"
Goan Mackerel Curry (Bangdyache Hooman) Recipe,"mackerel fish,fresh coconut,kashmiri dry red chillies,tamarind,sichuan peppercorns,kokum"
Delicious Dal Makhani Recipe Without Onion and Garlic (Jain),"homemade tomato puree,kashmiri red chilli powder,fresh cream,butter,milk,garam masala powder,black urad dal,rajma,cardamom powder,kasuri methi"
 Dahi Suran Ki Kadhi Recipe,"suran,gram flour,curd,mustard,fenugreek seeds,whole pepper,inch cinnamon,bay leaf,oil"
 Garlic Kheer (Recipe In Hindi),"garlic,milk,vinegar,rose water,cardamom powder"
Atukula Ladoo Recipe - Sweetened Poha Energy Balls,"jaggery,dessicated coconut,cashew nuts,poha"
Apple Tea Latte Recipe,"chamomile tea,apple,honey,cinnamon powder,almond milk"
"Raw Papaya, Apple & Carrot Salad Recipe","raw papaya,apple,lemon juice,black pepper powder,carrot,raw peanuts,sprig mint leaves"
Khatti Meethi Ragi Masala Roti Recipe With Carrots,"whole wheat flour,tamarind paste,jaggery,ragi flour,carrot,sprig coriander"
Nutty Chocolate High Fibre Biscuit Cake Recipe,"butter,cocoa powder,honey,vanilla extract,multigrain digestive oat biscuits,walnuts,sunflower seeds"
Andhra Style Paruppu Podi Recipe - Dal Podi,"black urad dal,yellow moong dal,jaggery,chana dal,arhar dal,horse gram dal,sesame"
No Onion No Garlic Rajasthani Gatte Ki Kadhi Recipe,"sprig curry leaves,gram flour,ajwain,curd,gram flour,curd,bay leaf,inch cinnamon stick,sprig coriander"
Jhurre Jhule Aloo Bhaja Recipe,"curry leaves,potatoes"
Thengai Poornam Kozhukattai & Uppu Kozhukattai Recipe,"fresh coconut,jaggery,rice,hot water,milk,cardamom powder,white urad dal,sesame,sesame"
 Andhra Style Kandi Pachadi (Recipe In Hindi),"tur dal,white urad dal,roasted chana dal,tamarind,bud garlic,white urad dal,sprig curry leaves,asafetida,oil"
Val Papdi Bhaji Recipe - Goan Style Flat Beans Dry Sabzi,"flat green beans,sprig curry leaves,fresh coconut,tamarind paste"
 Knol Khol Flavored With Asafoetida (Recipe In Hindi),"knoll knoll,sprig knoll knoll leaves,cooking soda,kashmiri masala powder,mustard oil"
 Malvani Anda Curry Recipe,"eggs,tomato puree,green chili,ginger garlic paste,cashews,coconut,malwani masala,kokum,sprig curry leaves,. spoon oil"
Bengali Aloo Dum Recipe,"baby potatoes,mustard oil,mustard oil,garam masala powder,homemade tomato puree,honey,cardamom,inch cinnamon stick,cloves,bay leaf,curd,sprig coriander"
Coriander Egg Curry Recipe,"eggs,lentil sugar,bay leaf,long,oil,garam masala powder,green coriander,green chilies"
Zucchini And Feta Cheese Bruschetta Recipe,"feta cheese,green zucchini,clove garlic,raisins,extra virgin olive oil,parsley leaves,salt pepper,french bread,extra virgin olive oil"
Masala Chai Kulfi Recipe With Bourbon Chocolate Syrup,"milk,assam tea leaves,whole black peppercorns,dried rose petals,milk,custard powder,condensed milk,pistachios,marie biscuit,inch butter,dark chocolate,fresh cream,bourbon,cardamom,inch cinnamon stick,cloves,almond meal"
Hummus Flavoured With Garlic Recipe,"lemon juice,tahini,dark soy sauce,parsley leaves,garlic,kabuli chana"
Sindhi Style Doda Recipe (Spring Onion Rice Flour Flat Bread Recipe),"rice flour,stalks spring onion greens,sprig coriander,sprig methi leaves"
Pineapple Kesari Bhath Recipe - Sweet Semolina Pudding,"pineapple,saffron strands,milk,cashew nuts,raisins,sooji,cardamom powder,edible camphor"
Masala Couscous Pulao Recipe,"couscous,ginger garlic paste,garam masala powder,carrots,green peas,mint leaves,bay leaf,cloves,inch cinnamon stick"
Karnataka Style Mixed Vegetable Pulao Recipe,"basmati rice,fresh coconut,bay leaves,paneer,fried bread cubes,carrots,green beans,green peas,potatoes,cauliflower,pearl onions,fennel seeds,inch cinnamon stick,cloves,cardamom"
 Baked Chinese Potato Recipe,"potato,small onions,red chilli flax,,coconut oil,coconut"
Pan Roasted Zucchini & Mushroom Recipe,"green zucchini,button mushrooms,extra virgin olive oil,whole black peppercorns,mixed herbs"
Kerala Style Chakkakuru Mezhukkupuratti Recipe-Jackfruit Seed Poriyal,"kashmiri red chilli powder,black pepper powder,sprig curry leaves,fresh coconut,jackfruit seeds,pearl onions"
Oats Apple Phirni Recipe,"apple,milk,pistachios,instant oats,cardamom"
Green Beans Poriyal Recipe With Peanuts & Sesame Recipe,"green beans,sesame seeds,raw peanuts"
Jaggery Coffee Without Milk Recipe,"coffee decoction,dry ginger powder,whole black peppercorns,jaggery"
Grain Free Chocolate Porridge Recipe,"coconut milk,coconut milk,date syrup,cocoa powder,vanilla extract,strawberries,pistachios,dried figs,walnuts,cauliflower,cinnamon powder"
Corn Meal and Zucchini Muffin Recipe,"baking powder,green zucchini,sweet corn,whole egg,milk,makki ka atta,purpose flour"
Karwar Style Karatya Kismore Recipe - Sweet Tangy Bitter Gourd Sabzi,"fresh coconut,tamarind water,jaggery,karela"
Fusion Spinach Parathas With Onion Tomato Salsa Recipe,"whole wheat flour,ginger garlic paste,green chilli paste,dried oregano,milk,parsley leaves,extra virgin olive oil,cheddar cheese,lemon juice,spinach leaves,mixed herbs,cumin powder,cumin powder"
 Cheesy Potatoes Recipe,"potatoes,sweet corn,mozzarella cheese,red chilli flakes,oregano,lemon juice,butter"
Avarekalu Masala Vada Recipe,"sprig curry leaves,chana dal,avarekalu,gram flour,fennel seeds"
Healthy Oats Waffles Recipe,"chia seeds,soy milk,baking powder,coconut sugar,coconut oil,soy milk,vanilla extract,maple syrup,fresh fruits,instant oats,cinnamon powder"
Onion Raita Recipe - Onion Raita Recipe,"curd,sprig coriander,sprig mint leaves,cumin powder"
Capsicum Curry Recipe,"garlic,whole black peppercorns,cashew nuts,peanut butter,garam masala powder,red yellow green bell pepper,bay leaf,kasuri methi"
Beetroot Carrot Tomato & Ginger Juice Recipe,"beetroots,carrots"
Onion Tomato Podi Masala Dosa Recipe,"idli dosa batter,potato masala,curry leaves,idli dosa podi,potatoes"
Falahari Rajgira Aloo Tikki Recipe (Gluten Free Amaranth Potato Patty),"ginger,rock salt,garam masala powder,potatoes,rajgira flour"
Kesar Elaichi Lassi Recipe,"saffron strands,honey,pistachios,curd,cardamom,badam"
 Paneer Makhani (Recipe In Hindi),"paneer,tomato puree,cream,curry garlic,cumin powder,garam masala powder,kasuri methi,honey,oil"
Ras El Hanout Recipe (Moroccan Spice Powder),"paprika powder,whole black peppercorns,mace powder,red chilli flakes,nutmeg powder,dry ginger powder,star anise,dried rose petals,inch cinnamon stick,cloves,cardamom,fennel seeds"
Vazha Thandu Poriyal Recipe - Tamil Nadu Style Dry Banana Stem Fry,"banana stem,sprig curry leaves,fresh coconut,pearl onions"
Sutlac Recipe - Rose Infused Turkish Rice Pudding,"rice,milk,rose water,rice flour,cinnamon powder"
Coriander Tamarind Millet Rice Recipe,"foxtail millet,curry leaves,white urad dal,tamarind,sprig coriander,cumin powder,chana dal,raw peanuts"
Potato Spinach Roulade Recipe With Parmesan Cheese & Herbed Butter Sauce,"parmesan cheese,whole eggs,sprig basil leaves,feta cheese,potato,purpose flour,spinach leaves"
Choco Berry Chia Parfait Recipe,"chia seeds,milk,rolled oats,honey,vanilla extract,chocolate chips,strawberries,cocoa powder,chocolate sauce,peanut butter,mixed fruits,mixed nuts,hung curd"
Salt Bell Pudding Recipe - Kara BT Pudding,"rice flour,gingelly oil,gingelly oil,white urad dal,sprig curry leaves"
Cinnamon Spiced Black Lemon Tea Recipe,"lemon,assam tea leaves,lemon wedges,honey,inch cinnamon stick"
 Sindhi Karela Bhaji Recipe,"bitter gourd,curd,cumin,kashmiri red chilli powder,cardamom powder,pomegranate powder,coriander powder - finely chopped take salt,"
Creamy Phirni Recipe - North Indian Rice Pudding,"milk,rice,cardamom,badam"
Moroccan Roast Chicken with Apricots Recipe,"chicken,extra virgin olive oil,paprika powder,sumac,harissa paste,black pepper powder,mixed vegetables,apricots,honey,butter,cinnamon powder,cumin powder"
Cheesy Kulcha Sandwich Recipe With Ghee Roast Mushrooms,"button mushrooms,whole black peppercorns,tamarind paste,sprig curry leaves,jaggery,whole wheat flour,active dry yeast,britannia cheese block,butter,cloves,methi seeds,purpose flour,sprig coriander,curd"
Multigrain Paneer Dahi Vada Recipe,"whole wheat flour,whole wheat brown bread,extra virgin olive oil,curry leaves,saffron strands,paneer,curd,brown sugar,curd,brown sugar,sesame seeds"
Savory Shrimps On Skillet Recipe,"shrimps,butter,orange color,soy sauce,lemon juice,honey,tabasco original,black pepper powder,garlic,ginger,fresh thyme leaves"
Spiced Mulled Apple Juice Recipe,"apple juice,nutmeg,black pepper powder,orange peel,inch cinnamon stick,cloves"
Banana Date Chocolate Chip Cake Recipe,"nutralite classic spread,whole eggs,whole wheat flour,baking powder,ripe bananas,dates,chocolate chips,vanilla extract,brown sugar,jowar flour,bajra flour"
"Lettuce, Apple And Carrot Salad With Chilli Dressing Recipe ","iceberg lettuce,apple,cucumber,lemon juice,honey,carrot"
Thai Style Vegetables & Raw Papaya Rice Recipe,"cooked rice,raw papaya,thai yellow curry paste,yellow bell pepper,red bell pepper,cabbage,roasted peanuts"
Singhara Pulao Recipe - Water Chestnut Mixed Rice,"cooked rice,star anise,black pepper powder,singhade,bay leaf,cloves,sprig coriander"
Hyderabadi Shahi Mixed Vegetable Curry Recipe,"baby potatoes,raisins,garam masala powder,cashew nuts,fresh cream,green peas,carrots,green beans,red bell pepper,yellow bell pepper,cumin powder,bay leaves,sprig coriander"
Red Rice Dosa Recipe,"red matta rice,white urad dal,methi seeds"
Buttered Green Beans Recipe - Finger Food for Toddlers,"butter,green beans"
Chaal Kopi Recipe - Bengali Style Cauliflower Stir Fry,"cashew nuts,raisins,basmati rice,garam masala powder,cauliflower,bay leaf,cardamom,cloves,inch cinnamon stick,cumin powder,green peas"
Mochiko Dango Recipe - Sweet Japanese Dumplings,"rice flour,icing sugar,hot water"
 Lehsuni Pudina Chutney Recipe,"peppermint,green chili,peanuts,lemon juice"
Baked Corn & Flour Tortilla Chips Flavored With Paprika Recipe,"whole wheat flour,dried oregano,paprika powder,makki ka atta,ajwain"
Jharkhand Dal Peethi Recipe,"yellow moong dal,garlic,garam masala powder,whole wheat flour,masoor dal,chana dal"
Mysore Bonda Recipe (Healthy Pan Fried Recipe),"whole black peppercorns,fresh coconut,white urad dal"
Khamang Kakdi Recipe - Khamang Kakdi Recipe,"cucumber,coconut,peanuts,curd,oil,mustard,green chili,sprig curry leaves"
Apple Carrot Sweet Potato Soup With Garam Masala Roasted Chickpeas Recipe,"sweet potato,apple,curry powder,coconut cream,vegetable stock,extra virgin olive oil,maple syrup,lemon juice,garam masala powder,extra virgin olive oil,carrots,kabuli chana"
Greek Style Kolokithokeftedes Recipe -Zucchini Fritters Recipe,"yellow zucchini,nutmeg,whole wheat bread crumbs,salt pepper,extra virgin olive oil,paneer,sprig spring onion,bulb  greens,sprig mint leaves,instant oats,flax seed powder"
Poppetjes Recipe - Sweet Puffy Wheat Dumpling Recipe,"whole wheat flour,coconut milk,vanilla extract,raisins,nutmeg powder,sooji,badam,cardamom,cinnamon powder"
Masala Roti Recipe-Soft and Spicy Indian Flat Bread,"whole wheat flour,corn flour,oats flour,lukewarm water,bajra flour,ragi flour,flax seed powder,ajwain,kasuri methi"
Puli Keerai Recipe (Tamarind Spinach Curry),"tamarind,sprig curry leaves,spinach leaves,chana dal"
 Mutton Keema Soup Recipe,"mutton,bay leaves,green coriander,sprig thyme leaves,small spoon black pepper powder,chicken stock,oil"
"Tortilla Pizza With Tomato, Onion And Capsicum Recipe","corn flour tortilla,homemade pizza pasta sauce,mozzarella cheese,dried oregano,red chilli flakes,green bell pepper"
Vegetarian Kabuli Pulao Recipe - Vegetarian Kabuli Pulao Recipe,"rice,chickpea chana chickpeas,sprig mint,bay leaf,inch lentil sugar,long,cardamom crush,large cardamom,ginger garlic paste,paprika powder,cinnamon powder,cumin powder,garam masala powder"
Idli Upma Recipe - Idli Upma,"idli,small onions,mustard,white urad lentils,curry leaves,olive oil,sprig green coriander"
Cabbage And Carrot Poriyal Recipe - No Onion And Garlic,"curry leaves,black pepper powder,white urad dal,coconut oil,carrot,cabbage,chana dal"
 Sarson Ka Saag (Recipe In Hindi),"mustard,spinach,batua,long garlic,green chili,cinnamon powder,cumin powder,oil,cheese"
Spinach Foxtail Millet Dhokla Recipe,"foxtail millet,enos fruit salt,sprig curry leaves,spinach,gram flour,curd,sesame seeds,sprig coriander"
Maharastrian Bhadang Recipe (Puffed Rice Snack Mix),"puffed rice,kolhapuri khanda lasun masala,sprig curry leaves,raw peanuts"
Double Beans Sundal Recipe,"double beans,sprig curry leaves,fresh coconut,white urad dal"
"Avocado, Grapefruit And Walnut Salad Recipe","avocado,grapefruit,cherry tomatoes,walnuts,mixed greens,lemon juice,extra virgin olive oil,white vinegar,soy sauce,honey,shallots,dijon mustard,black pepper powder"
Green Chilli Chicken Fry Recipe,"chicken,lemon,cloves,inch cinnamon stick"
Methi Aur Kache Kele Ki Sabzi Recipe-Fenugreek Greens & Raw Banana Stir Fry,"raw banana,ginger garlic paste,methi leaves"
Peanut Hummus Recipe,"lemon juice,kashmiri red chilli powder,extra virgin olive oil,raw peanuts,mango,sesame seeds,cumin powder,sesame"
Ragi And Dill Nippattu Recipe,"rice flour,dessicated coconut,dill leaves,butter,ragi flour,gram flour,raw peanuts,sesame seeds"
Karnataka Style Set Dosa Recipe,"idli rice,white urad dal,methi seeds,poha"
Wheat Pudding Recipe - Gehun Ka Halwa (Recipe In Hindi),"wheat flour,cardamom powder,cashews"
Indian Style Masala Omelette Grilled Sandwich Recipe,"whole eggs,black pepper powder,garam masala powder,mustard oil,whole wheat brown bread,butter"
Raw Papaya Thoran Recipe,"raw papaya,white urad dal,sprig curry leaves,fresh coconut"
Besan Laddu Recipe,"pistachios,chironji,melon seeds,fox nuts,fresh coconut,cashew nuts,gram flour,badam,cardamom"
Mango Lemonade Recipe,"lemon juice,mango pulp,mint leaves"
Coconut Peanut Chutney Recipe - Coconut Peanut Chutney Recipe,"coconut,sprigs green coriander,curry leaves,peanuts"
Chinese Chicken Sweet Corn Soup Recipe,"chicken breasts,whole black peppercorns,corn flour,whole egg,sweet corn,sprig spring onion greens,sprig coriander"
"Pita Topped With Oven Roasted Cauliflower, Basil Avocado Sauce Recipe","mini pita breads,del monte cheesy garlic mayo,avocado,basil leaves,lemon juice,milk,cauliflower,fennel seeds,badam"
Oats and Besan Cheela Recipe (High Protein Spiced Crepes),"rolled oats instant oats,gram flour,fennel seeds"
Ragi Oatmeal Kanji Recipe - Healthy Diabetic Porridge Recipe,"milk,honey,ragi flour,instant oats"
Black Rice Porridge Recipe,"black rice,jaggery,coconut milk,goji berries,mixed nuts,mango"
Lemony Pasta Recipe With Roasted Shrimps,"spaghetti pasta,butter,lemon zest,black pepper powder,lemon juice,basil leaves,extra virgin olive oil,black pepper powder,shrimps,extra virgin olive oil,parmesan cheese"
Manipuri Style Chak Angouba Recipe - Vegetable Pulao Recipe,"cooked rice,sprig chives,mustard oil,carrots,green beans"
Malida Recipe (Healthy Whole Wheat Afghan Sweet),"leftover roti,jaggery,dates,cardamom powder,badam"
Quinoa Chocolate Cookies Recipe,"quinoa,dessicated coconut,coconut sugar,vanilla extract,baking powder,coconut oil,ripe bananas,whole eggs,chia seeds,dark chocolate chips,purpose flour,instant oats"
Muesli Olive Oil Rusk Recipe,"muesli,whole wheat flour,jaggery,extra virgin olive oil,vanilla extract,milk"
Malvani crispy lady finger recipe - groundnut lady finger vegetable,"whole black peppercorns,nutmeg powder,star anise,stone flower,bhindi,roasted peanuts,fennel seeds,ajwain,nagkesar,cinnamon stick,cloves,black cardamom"
Healthy Ragi & Rice Breakfast Porridge Recipe,"cocoa powder,cooked rice,palm sugar,milk,ragi flour,almond meal,flax seed powder"
Vegan Chickpeas And Broccoli Curry Recipe,"broccoli,ginger garlic paste,inch cinnamon stick,cloves,kabuli chana,cumin powder"
Chettinad Nandu Varuval Recipe (Crab Fry Dry With Baby Onions),"crab,shallots,ginger garlic paste,sprig curry leaves,black pepper powder,fennel powder"
Upvaas Thalipeeth Recipe,"groundnut powder,barnyard millet,rajgira flour,tapioca flour,singoda flour,potatoes"
Ginger Chutney Recipe - Ginger Chutney Recipe,"ginger,jaggery,tamarind,white urad dal,black cumin,fenugreek seeds,dry red chilies,rye,whole black pepper,curry leaves,oil,sesame"
Nagli/Ragi Laddu Recipe,"whole wheat flour,dates,jaggery,mixed dry fruits,mixed nuts,milk,ragi flour,roasted peanuts,sesame seeds,dry coconut"
Tamil Nadu Style Vengaya Sambar Recipe - Pearl Onion Sambar,"tamarind water,sambar powder,sprig curry leaves,arhar dal,pearl onions,methi seeds"
Lauki Badi Ki Sabzi Recipe,"sprig curry leaves,garam masala powder,milk,bottle gourd,badi"
Radish Paratha (Radish Paratha) Recipe,"whole wheat flour,mooli"
Konkani Style Vali Bendi Recipe-Malabar Spinach Curry,"fresh coconut,tamarind,spinach leaves"
Dill Leaves Toor Dal Recipe - Shepu/ Suva Dal recipe,"dill leaves,lemon,arhar dal,bay leaf"
Karnataka Style Bell Saaru Recipe,"tamarind water,fresh coconut,jaggery,byadagi dried chillies,whole black peppercorns,sprig curry leaves,sprig curry leaves,arhar dal,methi seeds"
Jain Style Corn Palak - Jain Style Corn Palak (Recipe In Hindi),"spinach,sweet corn,kasoori methi,lemon juice,garam masala powder,small red chili powder,oil,cashews,oil"
Chettinad Mushroom And Green Peas Stir Fry Recipe,"button mushrooms,poppy seeds,whole black peppercorns,green peas,fennel seeds,methi seeds,inch cinnamon stick,cardamom"
Sauteed Spicy Prawns Recipe,"prawns,spring onion greens,nando 's peri peri chicken sauce,extra virgin olive oil,sprig coriander"
Sweet Potato And Carrot Sabzi Recipe,"sweet potato,garam masala powder,carrots,fennel seeds,sprig coriander"
Vegetable Sandwich Recipe With Mashed Avocado And Cottage Cheese,"whole wheat brown bread,avocado,cucumber,black pepper powder,potato,paneer,cabbage,green chutney,coriander  mint"
Layered Thai Basil & Tofu Rice Recipe,"tofu,thai basil leaves,light soy sauce,dark soy sauce,shiitake mushrooms,jasmine rice,thai red chilli,sesame,roasted peanuts"
Blueberry Muffin Cake Recipe,"milk,whole egg,baking powder,blueberries,butter,icing sugar,vanilla extract,milk,purpose flour,butter,purpose flour,cinnamon powder"
Quick Pulao With Onions And Tomatoes Recipe,"rice,sprig curry leaves,lemon,sprig coriander"
Schezwan Chicken Sizzler Recipe,"chicken breasts,dark soy sauce,corn flour,whole wheat flour,ginger garlic paste,whole egg,white vinegar,roasted tomato pasta sauce,red chilli sauce,black pepper powder,dark soy sauce,broccoli,extra virgin olive oil,black pepper powder,hakka noodles,dark soy sauce,light soy sauce,spring onion greens,white vinegar,black pepper powder,spring onion greens,sweet spicy red chilli sauce,spring onion,bulb  greens,yellow bell pepper,red bell pepper,carrot,green beans,sesame seeds"
Mixed Vegetable Corn Pakora Recipe - Made In Kuzhi Paniyaram Pan,"rice flour,enos fruit salt,chaat masala powder,gram flour,green bell pepper,carrot,ajwain"
 Spicy Gram Flour Sabzi (Recipe In Hindi),"gram flour,green chili,sprig green coriander,mustard,oil"
Mint Chutney Pasta Recipe - Pasta In Pudina Chutney Sauce Recipe,"pasta,mint,olive oil,lemon juice,black pepper powder -,parseley,green onion"
Healthy Lemon Cupcakes Recipe (Eggless),"whole wheat flour,caster sugar,lemon juice,baking powder,baking soda,raisins"
Mogre's Sorbet Recipe - Fresh Jasmine Drink,"saffron strands,fresh jasmine buds,milk,cardamom powder"
 Sukhi Suran Masala Sabzi Recipe,"suran,ginger,garlic,sprig curry leaves,cumin powder,garam masala powder,oil,black pepper powder"
Bihari Dal Pitha Recipe (Traditional Bihari Delicacy),"rice,whole black peppercorns,chana dal,ajwain"
Ginger Teriyaki Rice Recipe,"cooked rice,black pepper powder,sprig ginger teriyaki sauce,lemon juice,sesame,spring onion,bulb  greens"
Walnut Barfi Recipe - Walnut Barfi,"walnuts,condensed milk,cardamom powder"
Urulai Kizhangu Roast Recipe - Spicy Potato Roast Recipe,"sprig curry leaves,potatoes,sesame"
South Indian Carrot Poriyal Recipe - Carrot Poriyal (Recipe),"carrots,mustard,white urad dal,red chili,curry leaves,coconut,oil"
Cauliflower Moong Dal Recipe - Cauliflower Moong Dal Recipe,"yellow moong dal,cabbage,cumin powder,oil,ginger,garam masala powder"
Health Benefits of Rasna (Alpinia Galanga) - Ayurvedic Medicinal Plant,"stalks rasna,black pepper powder,honey,cumin powder"
Eggless Chocolate Pistachio Biscotti Recipe,"cocoa powder,baking powder,caster sugar,milk,vanilla extract,pistachios,chocolate chips,purpose flour"
Schezwan Masala Dosa Recipe Using Classic Idli Dosa Batter,"idli rice,hakka noodles,schezwan sauce,soy sauce,tomato ketchup,red chilli sauce,stalk spring onion greens,white urad dal,methi seeds,green bell pepper,carrot,cabbage,sesame"
"Kidney Beans, Crumbled Feta, Basil Salad with Lemon Vinaigrette Recipe","feta cheese,sprig basil leaves,lemon juice,extra virgin olive oil,rosemary,dried oregano,salt pepper,rajma"
Maharashtrian Style Patichya Kandyachi Zunka Recipe -Spring Onions and Besan Sabzi,"spring onion,bulb  greens,gram flour"
Spiced Rice Breakfast Porridge Recipe,"cooked rice,milk,dry ginger powder,nutmeg powder,honey,mixed fruits,mixed nuts,cinnamon powder"
Butter Chicken Recipe - The Classic Indian Chicken Gravy,"boneless chicken,ginger garlic paste,garam masala powder,kashmiri red chilli powder,butter,garam masala powder,homemade tomato puree,honey,fresh cream,fresh cream,curd,kasuri methi,kasuri methi"
Baingan Musallam Recipe (Mughlai Style Eggplant Simmered In Rich Tomato Curry),"homemade tomato puree,garam masala powder,fresh cream,raisins,brinjal,bay leaf"
Rajasthani Kachri Ki Chutney Recipe (Wild Cucumber Chutney),"kachri,curd"
Mangalorean Style Kuvalyacho Pollav Recipe (Yellow Pumpkin Curry Recipe),"fresh coconut,tamarind,kaddu,ajwain"
Carrot Pistachio Coconut Cake Recipe,"whole eggs,canola oil,vanilla extract,vivatta maida,baking soda,baking powder,pistachios,fresh coconut,carrots,cinnamon powder"
Guava Jam Recipe,"guava,lemon juice"
Homemade Tahini Sauce Recipe,"extra virgin olive oil,sesame seeds"
 Cabbage Tomato Sabzi (Recipe In Hindi),"cabbage,red chili powder,oil,rye,sprig coriander"
Vegan Black Beans Stuffed Paratha Recipe,"whole wheat flour,garam masala powder,purpose flour,black eyed beans"
Chicken Pad Thai Noodles Recipe,"chicken breasts,soy sauce,fish sauce,peanut butter,lemon juice,red chilli flakes,rice noodles,carrot,red bell pepper,yellow bell pepper,green bell pepper,sweet spicy red chilli sauce,brown sugar,roasted peanuts"
Green Beans Lentil Usili Recipe - Iyengar Style,"gingelly oil,white urad dal,sprig curry leaves,green beans,arhar dal"
Artichoke Bodi Surri Recipe - Artichoke Fry,"gingelly oil,sprig curry leaves,sambar powder,fresh coconut,bhindi,idli dosa podi"
Dried Kala Chana Masala Recipe - Ashtami Prasad,"chaat masala powder,kala chana,amchur,cumin powder"
Chana Methi Dal Recipe - Chana Methi Dal Recipe,"chana dal,fenugreek,green coriander,red chili powder"
Pulao Recipe in Cataract Chail - Vegetable Reese Topped with Paneer Balas,"basmati rice,garam masala powder,garam masala powder,green peas,cauliflower,cardamom,cloves,hung curd,sprig coriander,paneer,potato"
The recipe goes professionally,"tea bags,garam masala powder,lemon juice,kabuli chana,cardamom,inch cinnamon stick,anardana powder"
Ujju Rotti Recipe (Indian Rice Flat Bread),rice flour
Rajasthani Bajre Khatti Rabri Recipe,"buttermilk,bajra flour"
Sri Lankan Egg Bread Recipe,"rice,cooked rice,fresh coconut,active dry yeast,whole eggs"
Pistachio & Cranberry Broken Wheat Pilaf Recipe,"extra virgin olive oil,cranberries,whole black pepper corns,pistachios,lemon juice,broken wheat,sprig mint leaves"
Old Fashioned Bread Pudding Recipe,"whole wheat brown bread,whole eggs,caster sugar,vanilla extract,butter,milk,rum,walnuts,apples,dry fruits,cinnamon powder"
Baked Sweet Potato Boats Recipe,"black beans,pickled jalapenos,sweet corn,sweet potatoes,extra virgin olive oil,red chilli sauce,dried oregano,black pepper powder,clove garlic,apple cider vinegar,red wine,extra virgin olive oil,cashew nuts,apple cider vinegar,lemon juice,lemon zest,green bell pepper,red bell pepper"
Pahari Style Phanu Recipe - Delicious Mixed Dal,"white urad dal,mustard oil,arhar dal"
